dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
3687,2014-07-01 00:05:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.004,,,,0.893,,,,,,,,,0.005,,,,,,,,0.429,,0.005,,,,0.0,,,,,,,,0.123,,,,,,,,,,,,,,,119.72,121.404
3687,2014-06-30 23:59:00-05,0.0,,,,,,,,,,,,,,,,,0.005,,,0.0,0.0,,,,0.004,,,,1.393,,,,,,,,,0.005,,,,,,,,0.449,,0.007,,,,0.0,,,,,,,,0.608,,,,,,,,,,,,,,,119.574,121.135
7062,2014-07-15 04:12:00-05,0.015,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.007,,,,0.348,,,,,,,,,0.0,,,,,,,,0.014,,0.005,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,120.806,120.413
7062,2014-10-22 13:31:00-05,0.015,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.45,,,,,,,,,0.015,,,,,,,,0.014,,0.005,,,,0.0,,,,,,,,0.015,,,,,,,,,,,,,,,120.989,121.394
203,2015-01-31 18:31:00-06,0.0,,,,,,,,,,,,,,,,,0.003,,,0.0,,,,,0.008,,,,0.236,,,,,,,,,0.0,0.0,,,,,,,,,0.005,,,,0.0,,,,,,,,0.119,,,,,,,,,,,,,,,119.631,120.284
203,2015-01-01 00:22:00-06,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.008,,,,0.256,,,,,,,,,0.026,0.0,,,,,,,,,0.005,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,119.747,120.149
2606,2015-07-01 06:03:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.004,,,,0.597,,,,,,,,,0.0,0.0,,,,,,,0.064,,0.005,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,119.564,120.437
2606,2015-10-30 01:24:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.004,,,,1.551,,,,,,,,,0.0,0.0,,,,,,,0.06,,0.005,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,119.204,121.487
1524,2015-07-01 00:00:00-05,2.697,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.767,,,,4.034,,,,,,,,,0.003,,,,,,,,,,0.005,,,,0.013,,,,,,,,0.093,,,,,,,,,,,,,,,119.438,117.939
1524,2015-07-05 09:56:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.097,,,,0.323,,,,,,,,,0.003,,,,,,,,,,0.005,,,,0.008,,,,,,,,0.09,,,,,,,,,,,,,,,119.806,119.356
1450,2015-07-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.003,,,0.0,0.0,,,,0.007,,,,0.563,,,,,,,,,,0.008,,,,,,,0.122,,0.005,,,,0.014,,,,,,,,0.105,,,,,,,,,,,,,,,120.248,120.727
1450,2015-12-03 21:05:00-06,0.0,,,,,,,,,,,,,,,,,0.207,,,0.0,0.0,,,,0.007,,,,1.183,,,,,,,,,,0.0,,,,,,,0.456,,0.005,,,,0.014,,,,,,,,0.014,,,,,,,,,,,,,,,119.775,120.248
3864,2015-07-31 18:43:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,0.26,,,,,,,,,0.0,,,,,,,,0.037,,0.006,,,,0.0,,,,,,,,0.123,,,,,,,,,,,,,,,121.353,121.35
3864,2015-07-01 09:54:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,0.169,,,,,,,,,0.0,,,,,,,,0.037,,0.005,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,120.604,120.432
7114,2015-07-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.007,,,,0.758,,,,,,,,,0.0,,,,,,,,0.163,,0.046,,,,0.005,,,,,,,,0.133,,,,,,,,,,,,,,,120.506,120.506
7114,2015-08-09 10:31:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.007,,,,0.308,,,,,,,,,0.0,,,,,,,,0.015,,0.045,,,,0.005,,,,,,,,0.121,,,,,,,,,,,,,,,120.045,120.045
1731,2018-10-13 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.375,,,,0.612,,,,,,,,,0.0,,,,,,,,0.029,,0.042,,,,0.0,,,,,,,,0.025,,,,,,,,,,,,,,,120.481,120.738
1731,2018-10-11 17:57:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.371,,,,0.671,,,,,,,,,0.0,,,,,,,,0.028,,0.005,,,,0.0,,,,,,,,0.138,,,,,,,,,,,,,,,120.239,119.835
8342,2018-10-13 02:23:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,0.082,,,,,,,,,0.0,,,,,,,,,,0.005,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,120.237,120.558
8342,2018-12-18 01:54:00-06,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,1.105,,,,,,,,,0.0,,,,,,,,,,0.004,,,,0.0,,,,,,,,0.094,,,,,,,,,,,,,,,118.462,121.457
8061,2016-01-01 00:34:00-06,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.009,,,,0.242,,,,,,,,,0.0,,,,,,,,0.04,,0.005,,,,0.006,,,,,,,,0.053,,,,,,,,,,,,,,,120.115,120.115
8061,2016-10-15 16:25:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.624,,,,,,,,,0.103,,,,,,,,0.183,,0.005,,,,0.006,,,,,,,,0.069,,,,,,,,,,,,,,,120.73,120.73
5938,2016-01-01 02:35:00-06,0.0,,,,,,,,,,,,,,,,,0.003,,,0.0,0.0,,,,0.005,,,,0.119,,,,,,,,,,0.0,,,,,,,0.034,,0.007,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,120.708,121.157
5938,2016-03-31 20:44:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.005,,,,0.248,,,,,,,,,,0.0,,,,,,,0.163,,0.007,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,121.051,121.606
4934,2015-07-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.086,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.007,,,,,,,,0.006,,,,,,,,,,,,,,,120.141,120.477
4934,2016-06-30 23:59:00-05,1.92,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.538,,,,2.618,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.008,,,,,,,,0.103,,,,,,,,,,,,,,,120.501,121.295
9612,2014-07-01 00:00:00-05,2.115,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.51,,,,3.072,,,,,,,,,0.014,,,,,,,,,,0.042,,,,0.004,,,,,,,,0.077,,,,,,,,,,,,,,,119.502,121.079
9612,2015-02-28 23:59:00-06,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.393,,,,,,,,,0.013,,,,,,,,,,0.005,,,,0.003,,,,,,,,0.136,,,,,,,,,,,,,,,120.853,120.961
9836,2014-07-11 13:29:00-05,0.0,,,,,,,,,,,,,,,,,0.004,,,0.0,0.0,,,,0.007,,,,-1.445,,,,,,,,,0.0,0.007,,,,,,,,,0.005,,,,,,,,,,,,0.091,,,,,1.802,,,,,,,,,,121.395,121.541
9836,2015-06-30 23:59:00-05,0.0,,,,,,,,,,,,,,,,,0.004,,,0.0,0.0,,,,0.007,,,,0.345,,,,,,,,,0.0,0.011,,,,,,,,,0.005,,,,,,,,,,,,0.09,,,,,0.001,,,,,,,,,,120.476,120.931
6547,2014-10-01 00:00:00-05,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.008,,,,0.362,,,,,,,,,0.0,,,,,,,,,,0.006,,,,0.008,,,,,,,,0.102,,,,,,,,,,,,,,,120.542,120.467
6547,2015-09-30 23:59:00-05,2.022,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.492,,,,2.8,,,,,,,,,0.0,,,,,,,,,,0.005,,,,0.008,,,,,,,,0.013,,,,,,,,,,,,,,,120.547,119.071
